ac_number_2021,constituency_2021,region_2021,reserved_2021,valid_votes_2021,n_candidates_2021,winner_2021,winner_party_2021,winner_party_norm_2021,winner_votes_2021,winner_share_pct_2021,runner_up_2021,runner_up_party_norm_2021,runner_up_votes_2021,margin_pct_2021,turnout_pct_2021,ac_number_2026,constituency_2026,region_2026,reserved_2026,valid_votes_2026,n_candidates_2026,winner_2026,winner_party_2026,winner_party_norm_2026,winner_votes_2026,winner_share_pct_2026,runner_up_2026,runner_up_party_norm_2026,runner_up_votes_2026,margin_pct_2026,ac_number,flip_raw,flip_norm,margin_delta,constituency,district,region,reserved,turnout_pct_2026
86,Edapadi,Central,GEN,246192,28,EDAPPADI PALANISWAMI. K,AIADMK,AIADMK,163154,66.27,SAMBATHKUMAR. T,DMK,69352,38.1,85.64,86,Edappadi,Central,GEN,256922,15,EDAPPADI PALANISWAMI. K,AIADMK,AIADMK,148933,57.97,PREMKUMAR. K,IND,50823,38.19,86,False,False,0.0899999999999963,Edapadi,Salem,Central,GEN,
88,Salem (West),Central,GEN,214945,28,ARUL. R,PMK,PMK,105483,49.07,RAJENDRAN. A,DMK,83984,10.0,71.81,88,Salem (West),Central,GEN,233355,31,LAKSHMANAN.S,TVK,TVK,120407,51.6,KARTHE.M,PMK,45540,32.08,88,True,True,22.08,Salem (West),Salem,Central,GEN,
179,Viralimalai,Delta,GEN,193038,22,VIJAYA BASKER C,AIADMK,AIADMK,102179,52.93,PALANIAPPAN,DMK,78581,12.22,85.43,179,Viralimalai,Delta,GEN,203546,26,VIJAYABASKAR. C,AIADMK,AIADMK,105773,51.97,MURUGESAN. P,TVK,43700,30.5,179,False,False,18.28,Viralimalai,Pudukkottai,Delta,GEN,
11,Dr. Radhakrishnan Nagar,Chennai Metro,GEN,185323,31,EBENEZER. J.J. (@)  JOHN EBENEZER.J,DMK,DMK,95763,51.67,RAAJESH.R.S.,AIADMK,53284,22.92,70.98,11,Dr.Radhakrishnan Nagar,Chennai Metro,GEN,180645,38,N. MARIE WILSON,TVK,TVK,97800,54.14,J. JOHN EBENEZER,DMK,48132,27.49,11,True,True,4.569999999999997,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN,
113,Tiruppur (North),Kongu,GEN,235930,15,VIJEYAKUMAR.K.N,AIADMK,AIADMK,113384,48.06,RAVI (Alias) SUBRAMANIAN . M,CPI,73282,17.0,62.44,113,Tiruppur (North),Kongu,GEN,262379,15,V.SATHYABAMA,TVK,TVK,131401,50.08,M.S.M.ANANDAN,AIADMK,61409,26.68,113,True,True,9.68,Tiruppur (North),Tirupur,Kongu,GEN,
12,Perambur,Chennai Metro,GEN,198872,22,SHEKAR. R.D,DMK,DMK,105267,52.93,DHANAPALAN N.R,AIADMK,50291,27.64,63.0,12,Perambur,Chennai Metro,GEN,203783,47,C. JOSEPH VIJAY,TVK,TVK,120365,59.07,R.D. SHEKAR,DMK,66650,26.36,12,True,True,-1.2800000000000011,Perambur,Chennai,Chennai Metro,GEN,
9,Madavaram,Chennai Metro,GEN,300534,20,SUDHARSANAM. S,DMK,DMK,151485,50.41,Moorthy. V,AIADMK,94414,18.99,66.37,9,Madavaram,Chennai Metro,GEN,360604,15,M.L.VIJAYPRABHU,TVK,TVK,190462,52.82,S.SUDHARSANAM,DMK,95477,26.34,9,True,True,7.350000000000001,Madavaram,Tiruvallur,Chennai Metro,GEN,
10,Thiruvottiyur,Chennai Metro,GEN,198885,20,K.P.SHANKAR,DMK,DMK,88185,44.34,K.KUPPAN,AIADMK,50524,18.94,65.15,10,Thiruvottiyur,Chennai Metro,GEN,206283,15,SENTHIL KUMAR. N,TVK,TVK,110067,53.36,SUNDARARAJ. L,CPI(M),56503,25.97,10,True,True,7.029999999999998,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN,
2,Ponneri,Chennai Metro,SC,208800,10,DURAI. CHANDRASEKAR,INC,INC,94528,45.27,BALARAMAN. P,AIADMK,84839,4.64,78.2,2,Ponneri,Chennai Metro,SC,225954,13,DR.RAVI.M.S,TVK,TVK,110439,48.88,DURAI CHANDRASEKAR,INC,54671,24.68,2,True,True,20.04,Ponneri,Tiruvallur,Chennai Metro,SC,
50,Tiruppattur,North,GEN,184298,15,A. NALLATHAMBI,DMK,DMK,96522,52.37,T.K. RAJA,PMK,68282,15.32,76.97,50,Tiruppattur,North,GEN,202461,24,DR.THIRUPATHI. N,TVK,TVK,105098,51.91,NALLATHAMBI. A,DMK,56835,23.84,50,True,True,8.52,Tiruppattur,Vellore,North,GEN,
5,Poonamallee,Chennai Metro,SC,260869,14,Krishnaswamy A,DMK,DMK,149578,57.34,Rajamannar S X,PMK,55468,36.08,72.99,5,Poonamallee,Chennai Metro,SC,307323,11,PRAKASAM.R,TVK,TVK,161309,52.49,KRISHNASWAMY.A,DMK,88569,23.67,5,True,True,-12.409999999999997,Poonamallee,Tiruvallur,Chennai Metro,SC,
8,Ambattur,Chennai Metro,GEN,237941,23,JOSEPH SAMUEL,DMK,DMK,114554,48.14,V ALEXANDER,AIADMK,72408,17.71,62.01,8,Ambattur,Chennai Metro,GEN,258496,23,BALAMURUGAN.G,TVK,TVK,133339,51.58,DR A.P. POORNIMA,DMK,74558,22.74,8,True,True,5.029999999999998,Ambattur,Tiruvallur,Chennai Metro,GEN,
6,Avadi,Chennai Metro,GEN,298546,20,Nasar S M,DMK,DMK,150287,50.34,Pandiarajan K,AIADMK,95012,18.51,67.37,6,Avadi,Chennai Metro,GEN,344472,20,R.RAMESH KUMAR,TVK,TVK,180384,52.37,S.M.NASAR,DMK,104073,22.15,6,True,True,3.639999999999997,Avadi,Tiruvallur,Chennai Metro,GEN,
27,Shozhinganallur,Chennai Metro,GEN,385325,26,S.ARAVINDRAMESH,DMK,DMK,171558,44.52,K.P.KANDAN,AIADMK,136153,9.19,55.51,27,Shozhinganallur,Chennai Metro,GEN,445216,27,ECR P SARAVANAN,TVK,TVK,220382,49.5,S. ARAVIND RAMESH,DMK,123602,21.74,27,True,True,12.549999999999999,Shozhinganallur,Kanchipuram,Chennai Metro,GEN,
128,Oddanchatram,South,GEN,200299,14,SAKKARAPANI R,DMK,DMK,109970,54.9,NATARAJ N.P,AIADMK,81228,14.35,83.08,128,Oddanchatram,South,GEN,200133,14,SAKKARAPANI. R,DMK,DMK,93099,46.52,VIDIYAL S. SEKAR,BJP,49850,21.61,128,False,False,7.26,Oddanchatram,Dindigul,South,GEN,
7,Maduravoyal,Chennai Metro,GEN,271724,20,GANAPATHY.K,DMK,DMK,121298,44.64,BENJAMIN.P,AIADMK,89577,11.67,60.3,7,Maduravoyal,Chennai Metro,GEN,292230,21,RHEVANTH CHARAN,TVK,TVK,141725,48.5,GANAPATHY. K,DMK,80216,21.05,7,True,True,9.38,Maduravoyal,Tiruvallur,Chennai Metro,GEN,
184,Karaikudi,South,GEN,211107,13,S.Mangudi,INC,INC,75954,35.98,H.Raja,BJP,54365,10.23,66.23,184,Karaikudi,South,GEN,228748,25,DR.PRABHU. TK,TVK,TVK,101358,44.31,MANGUDI. S,INC,55284,20.14,184,True,True,9.91,Karaikudi,Sivaganga,South,GEN,
