ac_number,top2_share_pct,top3_share_pct,race_type
1,69.39,96.37,Multi-cornered (<70%)
2,73.07,95.85,Three-way (70–85%)
3,72.62,95.72,Three-way (70–85%)
4,70.85,95.95,Three-way (70–85%)
5,81.31,95.39,Three-way (70–85%)
6,82.58,94.07,Three-way (70–85%)
7,75.95,94.67,Three-way (70–85%)
8,80.43,94.35,Three-way (70–85%)
9,79.29,95.74,Three-way (70–85%)
10,80.75,94.48,Three-way (70–85%)
11,80.78,95.67,Three-way (70–85%)
12,91.77,95.97,Two-party (>85%)
13,85.83,95.89,Two-party (>85%)
14,82.12,95.86,Three-way (70–85%)
15,80.85,97.1,Three-way (70–85%)
16,81.48,96.76,Three-way (70–85%)
17,81.9,96.42,Three-way (70–85%)
18,79.54,96.96,Three-way (70–85%)
19,84.83,96.61,Three-way (70–85%)
20,78.46,96.26,Three-way (70–85%)
21,74.76,95.93,Three-way (70–85%)
22,72.82,95.38,Three-way (70–85%)
23,83.96,95.15,Three-way (70–85%)
24,67.82,95.64,Multi-cornered (<70%)
25,74.2,95.78,Three-way (70–85%)
26,69.52,94.55,Multi-cornered (<70%)
27,77.26,93.91,Three-way (70–85%)
28,74.84,94.9,Three-way (70–85%)
29,73.04,95.22,Three-way (70–85%)
30,75.34,92.69,Three-way (70–85%)
31,72.96,95.31,Three-way (70–85%)
32,73.97,95.59,Three-way (70–85%)
33,69.24,95.05,Multi-cornered (<70%)
34,65.28,96.28,Multi-cornered (<70%)
35,66.53,96.84,Multi-cornered (<70%)
36,68.66,96.37,Multi-cornered (<70%)
37,68.18,96.46,Multi-cornered (<70%)
38,68.58,96.17,Multi-cornered (<70%)
39,70.06,94.94,Three-way (70–85%)
40,66.02,96.71,Multi-cornered (<70%)
41,80.29,94.88,Three-way (70–85%)
42,74.84,96.54,Three-way (70–85%)
43,73.4,97.35,Three-way (70–85%)
44,67.62,97.02,Multi-cornered (<70%)
45,67.94,96.47,Multi-cornered (<70%)
46,68.17,96.26,Multi-cornered (<70%)
47,67.66,96.47,Multi-cornered (<70%)
48,72.3,96.44,Three-way (70–85%)
49,66.49,95.67,Multi-cornered (<70%)
50,79.98,94.8,Three-way (70–85%)
51,66.07,95.87,Multi-cornered (<70%)
52,64.8,95.38,Multi-cornered (<70%)
53,69.81,95.83,Multi-cornered (<70%)
54,67.52,96.43,Multi-cornered (<70%)
55,69.5,96.22,Multi-cornered (<70%)
56,74.06,96.2,Three-way (70–85%)
57,74.37,96.72,Three-way (70–85%)
58,69.88,93.52,Multi-cornered (<70%)
59,70.08,94.02,Three-way (70–85%)
60,72.28,96.7,Three-way (70–85%)
61,67.37,95.99,Multi-cornered (<70%)
62,67.14,96.23,Multi-cornered (<70%)
63,79.39,95.02,Three-way (70–85%)
64,68.63,95.59,Multi-cornered (<70%)
65,71.37,95.55,Three-way (70–85%)
66,64.33,93.46,Multi-cornered (<70%)
67,64.43,95.31,Multi-cornered (<70%)
68,68.71,95.74,Multi-cornered (<70%)
69,65.33,95.92,Multi-cornered (<70%)
70,66.51,95.01,Multi-cornered (<70%)
71,71.28,95.77,Three-way (70–85%)
72,64.99,96.3,Multi-cornered (<70%)
73,68.22,96.51,Multi-cornered (<70%)
74,66.02,95.72,Multi-cornered (<70%)
75,66.34,95.53,Multi-cornered (<70%)
76,67.24,96.04,Multi-cornered (<70%)
77,72.11,96.64,Three-way (70–85%)
78,71.46,94.59,Three-way (70–85%)
79,66.79,95.55,Multi-cornered (<70%)
80,64.91,96.14,Multi-cornered (<70%)
81,67.33,95.55,Multi-cornered (<70%)
82,70.62,95.66,Three-way (70–85%)
83,68.7,95.66,Multi-cornered (<70%)
84,77.85,95.25,Three-way (70–85%)
85,66.82,95.15,Multi-cornered (<70%)
86,77.75,94.88,Three-way (70–85%)
87,67.95,94.99,Multi-cornered (<70%)
88,71.11,88.91,Three-way (70–85%)
89,75.12,96.24,Three-way (70–85%)
90,72.11,96.35,Three-way (70–85%)
91,66.19,95.65,Multi-cornered (<70%)
92,66.29,94.67,Multi-cornered (<70%)
93,64.74,95.9,Multi-cornered (<70%)
94,70.2,95.16,Three-way (70–85%)
95,64.96,94.72,Multi-cornered (<70%)
96,68.64,94.59,Multi-cornered (<70%)
97,75.57,95.11,Three-way (70–85%)
98,71.5,95.13,Three-way (70–85%)
99,77.87,95.21,Three-way (70–85%)
100,62.69,93.36,Multi-cornered (<70%)
101,73.14,96.49,Three-way (70–85%)
102,66.12,95.32,Multi-cornered (<70%)
103,65.5,95.26,Multi-cornered (<70%)
104,69.48,95.62,Multi-cornered (<70%)
105,64.22,94.69,Multi-cornered (<70%)
106,67.91,93.61,Multi-cornered (<70%)
107,65.89,95.55,Multi-cornered (<70%)
108,65.23,96.25,Multi-cornered (<70%)
109,72.05,95.3,Three-way (70–85%)
110,66.0,96.01,Multi-cornered (<70%)
111,58.96,84.32,Multi-cornered (<70%)
112,66.53,95.02,Multi-cornered (<70%)
113,73.49,94.05,Three-way (70–85%)
114,75.17,94.49,Three-way (70–85%)
115,68.32,94.57,Multi-cornered (<70%)
116,64.76,95.49,Multi-cornered (<70%)
117,69.3,94.37,Multi-cornered (<70%)
118,72.42,94.51,Three-way (70–85%)
119,66.75,96.22,Multi-cornered (<70%)
120,75.24,95.59,Three-way (70–85%)
121,67.91,94.21,Multi-cornered (<70%)
122,70.69,96.16,Three-way (70–85%)
123,66.21,96.05,Multi-cornered (<70%)
124,66.76,95.96,Multi-cornered (<70%)
125,66.3,95.86,Multi-cornered (<70%)
126,66.7,94.82,Multi-cornered (<70%)
127,64.12,95.64,Multi-cornered (<70%)
128,71.43,95.99,Three-way (70–85%)
129,80.43,94.17,Three-way (70–85%)
130,68.16,93.5,Multi-cornered (<70%)
131,66.88,94.13,Multi-cornered (<70%)
132,70.01,95.57,Three-way (70–85%)
133,70.7,95.82,Three-way (70–85%)
134,67.76,95.08,Multi-cornered (<70%)
135,65.31,96.41,Multi-cornered (<70%)
136,64.21,94.55,Multi-cornered (<70%)
137,65.09,94.02,Multi-cornered (<70%)
138,68.53,94.07,Multi-cornered (<70%)
139,68.05,93.96,Multi-cornered (<70%)
140,87.93,95.17,Two-party (>85%)
141,85.36,96.2,Two-party (>85%)
142,80.33,94.18,Three-way (70–85%)
143,64.31,94.37,Multi-cornered (<70%)
144,71.96,93.98,Three-way (70–85%)
145,66.54,94.22,Multi-cornered (<70%)
146,66.9,93.69,Multi-cornered (<70%)
147,66.29,95.09,Multi-cornered (<70%)
148,69.07,94.78,Multi-cornered (<70%)
149,70.55,94.93,Three-way (70–85%)
150,69.91,94.26,Multi-cornered (<70%)
151,70.55,94.81,Three-way (70–85%)
152,65.4,94.09,Multi-cornered (<70%)
153,69.34,89.75,Multi-cornered (<70%)
154,69.63,96.33,Multi-cornered (<70%)
155,66.6,95.76,Multi-cornered (<70%)
156,68.34,93.24,Multi-cornered (<70%)
157,72.07,96.23,Three-way (70–85%)
158,68.31,96.19,Multi-cornered (<70%)
159,73.25,96.27,Three-way (70–85%)
160,65.78,95.37,Multi-cornered (<70%)
161,66.59,94.54,Multi-cornered (<70%)
162,70.37,95.93,Three-way (70–85%)
163,68.17,95.74,Multi-cornered (<70%)
164,72.76,93.73,Three-way (70–85%)
165,68.67,92.4,Multi-cornered (<70%)
166,71.07,93.71,Three-way (70–85%)
167,69.83,92.69,Multi-cornered (<70%)
168,77.71,94.47,Three-way (70–85%)
169,71.67,95.32,Three-way (70–85%)
170,70.02,95.44,Three-way (70–85%)
171,75.54,94.89,Three-way (70–85%)
172,66.42,93.99,Multi-cornered (<70%)
173,68.86,93.78,Multi-cornered (<70%)
174,80.22,93.78,Three-way (70–85%)
175,71.14,93.88,Three-way (70–85%)
176,64.57,91.66,Multi-cornered (<70%)
177,67.59,93.55,Multi-cornered (<70%)
178,64.0,92.07,Multi-cornered (<70%)
179,73.43,93.28,Three-way (70–85%)
180,69.39,91.03,Multi-cornered (<70%)
181,63.25,93.78,Multi-cornered (<70%)
182,65.0,92.84,Multi-cornered (<70%)
183,74.9,92.17,Three-way (70–85%)
184,68.48,83.06,Multi-cornered (<70%)
185,77.57,91.09,Three-way (70–85%)
186,62.15,89.05,Multi-cornered (<70%)
187,66.76,87.27,Multi-cornered (<70%)
188,61.75,91.59,Multi-cornered (<70%)
189,81.74,93.21,Three-way (70–85%)
190,66.38,92.64,Multi-cornered (<70%)
191,79.27,94.79,Three-way (70–85%)
192,73.32,95.39,Three-way (70–85%)
193,72.8,95.48,Three-way (70–85%)
194,76.36,94.44,Three-way (70–85%)
195,73.56,93.17,Three-way (70–85%)
196,66.41,92.85,Multi-cornered (<70%)
197,58.06,84.68,Multi-cornered (<70%)
198,64.31,93.59,Multi-cornered (<70%)
199,72.48,93.71,Three-way (70–85%)
200,74.47,93.26,Three-way (70–85%)
201,81.01,94.01,Three-way (70–85%)
202,66.11,86.03,Multi-cornered (<70%)
203,63.72,85.96,Multi-cornered (<70%)
204,59.58,86.57,Multi-cornered (<70%)
205,65.3,91.82,Multi-cornered (<70%)
206,70.66,91.16,Three-way (70–85%)
207,70.48,91.41,Three-way (70–85%)
208,75.59,89.74,Three-way (70–85%)
209,60.71,89.33,Multi-cornered (<70%)
210,62.11,91.15,Multi-cornered (<70%)
211,70.08,94.47,Three-way (70–85%)
212,51.7,72.27,Multi-cornered (<70%)
213,62.33,90.39,Multi-cornered (<70%)
214,80.12,92.98,Three-way (70–85%)
215,75.31,93.74,Three-way (70–85%)
216,66.22,89.69,Multi-cornered (<70%)
217,68.72,81.97,Multi-cornered (<70%)
218,63.23,90.61,Multi-cornered (<70%)
219,62.9,84.63,Multi-cornered (<70%)
220,63.18,87.42,Multi-cornered (<70%)
221,69.28,91.53,Multi-cornered (<70%)
222,63.63,87.34,Multi-cornered (<70%)
223,59.37,86.97,Multi-cornered (<70%)
224,64.43,86.25,Multi-cornered (<70%)
225,63.6,91.8,Multi-cornered (<70%)
226,81.04,92.02,Three-way (70–85%)
227,63.96,82.32,Multi-cornered (<70%)
228,63.96,90.35,Multi-cornered (<70%)
229,62.89,93.51,Multi-cornered (<70%)
230,67.5,94.24,Multi-cornered (<70%)
231,65.3,92.71,Multi-cornered (<70%)
232,67.97,92.59,Multi-cornered (<70%)
233,69.24,95.43,Multi-cornered (<70%)
234,74.31,91.86,Three-way (70–85%)
